Reactor;Time;Sampling events;Sample volume (ml);DW;Total Protein;Target Protein;Glucose;Glycerol;D-Gluconate;Acetate;Lactate;Succinate;2-Keto-D-Gluconate;Offline_OD
Bioreactor 13;0.333333333;Sample 1.50 mL to AMBR-96DWP-1/A1;1.5;0;;;10.13757904;;;;0;0;0;
Bioreactor 14;0.333333333;Sample 1.50 mL to AMBR-96DWP-1/A2;1.5;0;;;10.19338875;;;;0;0;0;
Bioreactor 15;0.333333333;Sample 1.50 mL to AMBR-96DWP-1/A3;1.5;0;;;10.11023542;;;;0;0;0;
Bioreactor 16;0.333333333;Sample 1.50 mL to AMBR-96DWP-1/A4;1.5;0;;;10.31303216;;;;0;0;0;
Bioreactor 17;0.333333333;Sample 1.50 mL to AMBR-96DWP-1/A5;1.5;0;;;10.11772947;;;;0;0;0;
Bioreactor 18;0.333333333;Sample 1.50 mL to AMBR-96DWP-1/A6;1.5;0;;;10.19375353;;;;0;0;0;
Bioreactor 19;0.333333333;Sample 1.50 mL to AMBR-96DWP-1/A7;1.5;0;;;9.9625653;;;;0;0;0;
Bioreactor 21;0.333333333;Sample 1.50 mL to AMBR-96DWP-1/A9;1.5;0;;;10.34880376;;;;0;0;0;
Bioreactor 22;0.333333333;Sample 1.50 mL to AMBR-96DWP-1/A10;1.5;0;;;10.15674251;;;;0;0;0;
Bioreactor 23;0.333333333;Sample 1.50 mL to AMBR-96DWP-1/A11;1.5;0;;;10.16767909;;;;0;0;0;
Bioreactor 24;0.333333333;Sample 1.50 mL to AMBR-96DWP-1/A12;1.5;0;;;10.35650101;;;;0;0;0;
Bioreactor 13;4.333333333;Sample 1.50 mL to AMBR-96DWP-1/B1;1.5;;;;;;;;;;;
Bioreactor 14;4.333333333;Sample 1.50 mL to AMBR-96DWP-1/B2;1.5;;;;;;;;;;;
Bioreactor 15;4.333333333;Sample 1.50 mL to AMBR-96DWP-1/B3;1.5;;;;;;;;;;;
Bioreactor 16;4.333333333;Sample 1.50 mL to AMBR-96DWP-1/B4;1.5;;;;;;;;;;;
